numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,stress
6,ə̝,0.168269179962008,0.871836252246533,208.871106932321,212.583490190316,193.139497487024,638.789256331819,1874.9960153296,2710.48431839315,58.8054159892312,60.5990120431132,subj2,9-1,3,NA
1,ɐ,0.104230759077856,0.219138530906979,206.482374241159,216.224524865095,200.66392909853,727.521257891902,1811.91682684217,2520.18753374733,58.2267016173939,59.703397168074,subj2,8-2,2,NA
2,r,0.0499567543509249,0.29623228762137,205.842727840511,207.071762520848,198.898845598967,457.547471552951,1776.03346653425,2447.80450716848,57.8992583087643,58.3861717959736,subj2,8-2,0,NA
3,ɡ,0.114715509991013,0.378568419792339,195.761431982321,211.839931918859,186.475924896751,378.478173708056,1694.55029170522,2957.19337829618,47.0685716209303,56.5174453735603,subj2,8-2,0,NA
4,a,0.22758076982088,0.549716559698285,177.603107101351,200.46424072024,176.659441031899,827.85187361978,1708.16417866172,2919.7183342439,58.1242608764521,58.830651038916,subj2,8-2,1,NA
5,n,0.162205264127077,0.744609576672264,176.511337065351,179.494403736381,170.129837126932,281.839265178075,2083.18840160528,3169.53294375259,55.3831249792022,58.9928598436088,subj2,8-2,0,NA
1,o,0.159424842595406,0.541379726634415,209.055742996186,218.204589472189,203.920677223387,505.07395476026,1036.8100022844,2630.89447844504,61.016657230971,62.1929564538471,subj2,8-1,1,NA
2,r,0.0549740836535885,0.648579189758912,225.607072065729,229.498452378554,212.72674546548,432.433893654806,1692.78537029138,2606.77405733638,59.1571974969392,60.7846293017541,subj2,8-1,0,NA
3,ɡ,0.108726521003764,0.730429492087588,207.565419501794,224.04025859301,200.843709893005,379.756294041817,2130.35842604623,3117.78840682077,53.6649896333653,60.4183602669672,subj2,8-1,0,NA
4,ə,0.0879585338457414,0.828772019512341,213.0516359591,220.485879358119,203.483221549242,482.375415737394,1724.08421670569,2727.27138354304,61.8813239603426,62.6822615707445,subj2,8-1,3,NA
5,n,0.0305411575853268,0.888021865227875,210.589832993181,212.009390414553,203.426825304831,389.817711287673,1732.23784462855,2341.68814187004,61.8426029113942,62.0671949278915,subj2,8-1,0,NA
1,vʲ,0.0379066274478413,0.18719838655564,201.817134537585,207.505957361789,199.072425302883,399.509635966851,1788.29890328048,2735.10535876381,44.6741450653722,55.3656532238685,subj2,7-2,0,NA
2,ɪ,0.0997836222524059,0.256043511405764,212.169955156804,227.940279419588,203.602346944727,402.113599480051,2490.22011576745,3278.98928678759,58.6257954393307,58.853082344223,subj2,7-2,2,NA
3,s,0.110375179921656,0.361122912492795,-1,228.425989407826,226.060959922376,527.194921703206,1992.38761752788,2987.65241184254,48.6996950217124,55.0314254730873,subj2,7-2,0,NA
4,c,0.18395863320276,0.508289819055002,-1,187.179746906502,181.575158580471,1359.21495943821,2237.25230803865,3316.05895965883,43.2950824409895,52.4393260624775,subj2,7-2,0,NA
5,i,0.186745885220983,0.693642078266874,184.404749589534,195.426806226134,180.041986793592,248.402612994493,2279.65661658055,2555.19834082342,59.7292426526977,60.855049172524,subj2,7-2,1,NA
1,vʲ,0.0300070319149097,0.240585771016093,211.202785573919,215.445319881512,210.281105516028,248.880233377683,1977.31815118834,2947.8350588003,47.904156859749,56.0147102906368,subj2,7-1,0,NA
2,i,0.150687486355307,0.330933030151202,223.912285069089,237.062856223256,208.249518055962,384.200915178441,2660.11231584144,3484.85279187132,61.0550108746037,62.3588495416703,subj2,7-1,1,NA
3,s,0.111547879509773,0.462050713083742,-1,234.868174428287,233.493516466349,922.687303025449,2470.27037575264,3629.62205768253,54.4923265250793,55.5438824054763,subj2,7-1,0,NA
4,c,0.168300309435798,0.601974807556528,78.575894501217,225.523607291168,77.8129476848659,689.824678296358,1863.62100524306,2927.75302345929,39.8477612489613,58.0187707273784,subj2,7-1,0,NA
5,ə̝,0.114157186632809,0.743203555590831,218.752951620992,225.633972252569,206.70189843382,423.590747039715,2488.14216230103,3294.46470613998,61.7710044128138,62.8423370741353,subj2,7-1,3,NA
1,p,0.0403263655965559,0.184225893443122,210.400367185,217.62963907245,206.305852461669,663.862717909965,1474.14656615296,2588.37564098778,44.1104812452669,54.8312662009601,subj2,6-2,0,NA
2,ɐ,0.114811534992547,0.261794843737674,224.057625284899,229.425173078419,212.463311370964,712.927511387969,1755.99389645939,2417.30062445277,61.1313533107119,61.9260323234896,subj2,6-2,2,NA
3,r,0.101053127906663,0.369727175187279,206.883167868069,225.953158504404,194.404566173868,454.193762208338,1934.18419809003,2733.0585990362,56.0868128965869,57.6629053990768,subj2,6-2,0,NA
4,a,0.178859292116489,0.509683385198855,186.880037622006,194.18521490231,179.182668776825,961.766957734605,1532.56000854785,2163.06465431057,57.8941518595886,58.8719169774619,subj2,6-2,1,NA
1,p,0.040693879466065,0.239319999296422,223.731339080577,223.732413150829,220.120712525521,717.76630899387,2106.2614400555,2744.84450778144,45.5030420930964,57.4026872238717,subj2,6-1,0,NA
2,o,0.204584298137614,0.361959088098262,223.513587539171,232.753502095224,209.32387704544,560.764130149203,855.661270334565,2698.35803291752,62.8079366376893,63.2577991048231,subj2,6-1,1,NA
3,r,0.0836175605467088,0.506060017440424,223.642960682516,231.166769216574,221.673284181477,477.524997496542,1711.43601906041,2824.7811457272,56.4749137830314,60.6825458316212,subj2,6-1,0,NA
4,ə,0.110375179921656,0.603056387674606,217.406576746219,226.563794589143,204.026064205297,788.445537550219,1791.2900087267,3073.05920101467,59.2011357018281,60.6493539991772,subj2,6-1,3,NA
1,d,0.0971208811213394,0.185269829189504,197.787538934861,212.613635469294,194.841892756486,364.122289795295,2190.94577933942,3423.9378894861,56.5824170466088,58.0265688404187,subj2,5-2,0,NA
2,ʊ,0.116056398824242,0.291858469162295,238.662487710324,245.388780020457,212.780770862183,373.178757344726,2148.66629822158,2669.43599540277,60.6265765862353,61.0502229120687,subj2,5-2,2,NA
3,xʲ,0.180192829753428,0.43998308345113,229.292274679975,243.990197370073,185.305975724499,350.921988819459,2517.93645185902,3727.69689479123,44.6974341944761,52.0250778767832,subj2,5-2,0,NA
4,i,0.167976366719298,0.614067681687493,186.719356095946,189.971351138379,181.601895525442,262.704495245355,2780.66915949099,3926.61295347842,59.2466063348258,59.6294774135755,subj2,5-2,1,NA
1,d,0.0491523185898457,0.271700842605499,186.340901748183,199.455454330697,185.266202461366,200.766680187666,2113.99605692579,3127.5319960697,56.2294408620325,59.9884490691505,subj2,5-1,0,NA
2,u,0.188671117584284,0.390612560692563,231.15465752286,246.616704813491,199.908202603869,363.052219831081,894.261855475206,2894.85034703815,61.8020354907934,62.980285533652,subj2,5-1,1,NA
3,xʲ,0.157537269798098,0.563716754383754,-1,236.556795629436,224.04332817725,2774.31703181444,3853.87940716587,4099.03160332147,47.2643083422364,56.1312989867093,subj2,5-1,0,NA
4,ə̝,0.148197115462243,0.716583947013925,217.681343857487,231.197105409773,200.40217147689,426.307129408233,2151.15589770091,2759.33930876067,60.706497520183,62.4441382064117,subj2,5-1,3,NA
1,x,0.153034876480537,0.185887008787179,-1,217.259199494385,211.393610423832,930.845248449857,1271.47868459555,2925.79404967984,36.2569413613738,55.2397376049526,subj2,4-2,0,NA
2,ɫ,0.0502051175805716,0.287507005817734,218.201742159417,220.726852602873,216.616038202868,571.494858878862,987.364432294053,2519.66084910354,59.7604131992098,61.6856604600913,subj2,4-2,0,NA
