numphoneme,phoneme,stress,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec
8,,,0.360970148110436,0.934662318235031,-1,104.126858370699,99.1687895559092,487.284885326518,1771.28653909485,2518.72974998391,50.4842288878479,69.0275310471107,subj1,9-1.csv
1,,,0.253453688058783,0.126726844029391,-1,-1,-1,487.981930649109,1832.8792800597,3283.0385695222,51.1872025755141,70.2731189311534,subj1,8-2.csv
2,ɐ,2,0.046070186928215,0.27648878152289,116.001989956123,117.12274640447,111.032939541631,554.337884924162,1245.6788056922,2420.88231170384,76.317039713808,78.103844807257,subj1,8-2.csv
3,r,L,0.0484808362442262,0.323764293109111,117.750979574369,124.403143238734,108.20698139677,458.492368102232,1477.66947345515,2290.27322232008,77.5621775677191,78.4860278847429,subj1,8-2.csv
4,ɡ,P,0.0953545729444448,0.395681997703446,113.417825736759,123.599076203793,108.005330551915,344.93989712981,1387.68722836825,2298.82142640198,72.7159046357399,77.4252005212586,subj1,8-2.csv
5,a,1,0.0685695805443199,0.477644074447829,107.693491314164,122.845267346591,104.296018583095,693.72770484653,1418.93489854174,2851.1057215672,76.7623321151991,77.9961047815115,subj1,8-2.csv
6,n,N,0.093479623476436,0.558668676458207,104.351335823723,105.584500477545,97.786722648788,270.44667559374,1612.84052233014,2830.87172455614,73.848703818647,75.135526259159,subj1,8-2.csv
7,,,0.307766114978179,0.759291545685514,-1,103.748613607458,97.2103264736303,463.675625376607,1750.49822788939,2967.57059634679,52.2386698167662,69.4532550011505,subj1,8-2.csv
1,,,0.237073654316753,0.118536827158376,-1,-1,-1,493.465094153226,1621.11396794135,2801.94991744951,50.1276169839742,72.9776999880557,subj1,8-1.csv
2,o,1,0.0978142955833203,0.285980802108413,118.603845332384,119.32005999741,116.627049856625,463.728139236335,816.5855875244,2610.21867084242,80.1763649311911,80.5707774274678,subj1,8-1.csv
3,r,L,0.0518357195157116,0.360805809657929,113.240312728388,116.521191568475,110.033448169987,367.175007158527,1570.7230604027,2261.33241879427,76.6984678420108,80.1646791318488,subj1,8-1.csv
4,ɡ,P,0.112750011375983,0.443098675103776,104.331202936783,123.565096986841,101.49650628556,325.245201368898,1648.37921325082,2681.87068105202,68.03876842259,76.6878684300442,subj1,8-1.csv
5,ə,3,0.027235717033679,0.513091539308607,112.848434037821,118.353343505729,106.643593936301,452.845061602609,1037.02375964318,2400.28889390548,74.4749815390648,74.7864920489514,subj1,8-1.csv
