pairs,diff,lwr,upr,p adj
ɨ-ə,360.5964741297903,-206.80328433221905,927.9962325917996,0.6554517159127439
ɨ̞-ə,-18.78047445598054,-586.1802329179899,548.6192840060288,1
o-ə,-410.5978922132076,-579.9349502666772,-241.26083415973798,0
u-ə,-136.67976731409635,-389.6140481139731,116.25451348578045,0.8515316987512207
ʊ-ə,-149.5701079031537,-449.1905744164587,150.05035861015125,0.9100939906587597
əᶷ-ə̝,-760.9740919409574,-1175.9090954966157,-346.03908838529907,1.2932153437006377e-7
i-ə̝,489.037099439945,294.02849779310367,684.0457010867863,0
ɪ-ə̝,17.251427782375913,-177.75717386446541,212.26002942921724,0.9999999985287757
ɨ-ə̝,-186.31364690257578,-758.1100254108097,385.48273160565816,0.9972915845732395
ɨ̞-ə̝,-565.6905954883466,-1137.4869739965807,6.105783019887326,0.05571073081122124
o-ə̝,-957.5080132455737,-1141.0390781980475,-773.9769482930999,0
u-ə̝,-683.5898883464624,-946.238632824969,-420.94114386795576,0
ʊ-ə̝,-696.4802289355198,-1004.3455185120413,-388.61493935899824,0
i-əᶷ,1250.0111913809023,831.1826105279273,1668.8397722338773,0
ɪ-əᶷ,778.2255197233333,359.3969388703582,1197.0541005763084,7.775949151245243e-8
ɨ-əᶷ,574.6604450383816,-106.76462340142291,1256.085513478186,0.20298947169775916
ɨ̞-əᶷ,195.28349645261073,-486.14157198719374,876.7085648924152,0.9992246250437506
o-əᶷ,-196.53392130461634,-610.1432505340836,217.07540792485082,0.9359815300427168
u-əᶷ,77.38420359449492,-376.8991753653747,531.6675825543646,0.9999970837950791
ʊ-əᶷ,64.49386300543756,-417.3464237588554,546.3341497697305,0.9999998139528798
ɪ-i,-471.7856716575691,-674.9473749380824,-268.6239683770558,0
ɨ-i,-675.3507463425208,-1249.9788186107614,-100.72267407428012,0.0066870077197731526
ɨ̞-i,-1054.7276949282916,-1629.3557671965323,-480.09962266005095,1.2527313031363008e-7
o-i,-1446.5451126855187,-1638.716845170221,-1254.3733802008164,0
u-i,-1172.6269877864074,-1441.384659192674,-903.8693163801408,0
ʊ-i,-1185.5173283754648,-1498.610540517821,-872.4241162331087,0
ɨ-ɪ,-203.5650746849517,-778.1931469531924,371.06299758328896,0.994125485577849
ɨ̞-ɪ,-582.9420232707225,-1157.5700955389632,-8.313951002481872,0.04306473900186214
o-ɪ,-974.7594410279496,-1166.9311735126519,-782.5877085432472,0
u-ɪ,-700.8413161288383,-969.5989875351049,-432.0836447225717,0
ʊ-ɪ,-713.7316567178957,-1026.8248688602516,-400.63844457553967,0
ɨ̞-ɨ,-379.37694858577083,-1166.2188419783315,407.46494480678973,0.9290697769217408
o-ɨ,-771.1943663429979,-1342.0294725908943,-200.3592600951015,5.950435163786238e-4
u-ɨ,-497.27624144388665,-1098.2366641828503,103.684181295077,0.22847860555748212
ʊ-ɨ,-510.166582032944,-1132.219717422915,111.88655335702686,0.24096060914703665
o-ɨ̞,-391.8174177572271,-962.6525240051235,179.01768849066934,0.5315210438163839
u-ɨ̞,-117.89929285811581,-718.8597155970795,483.06112988084783,0.9999859078391442
ʊ-ɨ̞,-130.78963344717317,-752.842768837144,491.2635019427977,0.999969885418502
u-o,273.91812489911126,13.368737975918748,534.4675118223038,0.029030198382661188
ʊ-o,261.0277843100539,-45.04844243085296,567.1040110509607,0.1886913127206311
ʊ-u,-12.89034058905736,-372.0328857567078,346.2522045785931,1
